order_item_id,order_id,product_id,quantity,unit_price
1,1,15,3,289.05
2,1,27,3,80.16
3,1,20,3,61.8
4,1,18,3,121.31
5,1,4,2,185.43
6,2,27,1,80.16
7,2,10,2,81.47
8,2,20,1,61.8
9,2,25,3,24.6
10,3,34,1,101.12
11,3,9,1,343.34
12,3,25,2,25.32
13,3,16,1,107.88
14,3,17,3,42.95
15,4,36,1,26.14
16,4,14,1,358.16
17,4,31,1,327.1
18,4,22,2,12.8
19,4,20,3,61.8
20,5,19,3,121.07
21,5,25,2,27.45
22,5,30,3,185.37
23,6,21,1,62.91
24,6,14,1,358.16
25,6,24,1,44.99
26,6,27,3,80.16
27,7,25,1,27.45
28,7,37,3,46.75
29,8,30,3,185.37
30,8,11,1,398.95
31,8,23,3,10.43
32,8,9,1,343.34
33,9,1,2,1054.23
34,10,30,3,185.37
35,10,24,2,44.99
36,10,4,1,167.84
37,10,40,1,29.47
38,10,41,3,59.15
39,11,12,1,272.12
40,11,7,3,848.08
41,11,34,2,101.12
42,11,10,2,77.06
43,12,20,3,61.8
44,12,6,3,1195.82
45,13,4,1,185.43
46,13,41,2,59.15
47,13,1,2,1154.6
48,13,11,1,398.95
49,14,31,3,327.1
50,14,18,1,121.31
51,14,3,2,561.97
52,14,5,1,859.64
53,14,35,3,25.14
54,15,25,3,27.45
55,15,35,2,22.47
56,15,22,1,12.8
57,15,9,3,343.34
58,15,6,2,1195.82
59,16,32,2,388.54
60,16,15,3,289.05
61,16,23,2,9.51
62,16,36,1,26.14
63,17,25,2,23.35
64,17,21,2,62.91
65,18,28,3,328.32
66,18,29,2,209.24
67,19,25,2,27.45
68,19,1,1,1154.6
69,19,19,3,121.07
70,20,11,2,398.95
71,20,9,1,343.34
72,20,18,2,121.31
73,20,20,2,61.8
74,21,39,1,25.56
75,21,40,2,31.96
76,21,13,3,226.75
77,21,30,2,185.37
78,22,9,2,343.34
79,22,20,2,61.8
80,22,21,2,62.91
81,22,39,3,30.05
82,22,13,3,226.75
83,23,24,3,44.99
84,23,8,1,280.21
85,23,37,3,43.14
86,23,13,3,226.75
87,24,32,1,388.54
88,24,9,1,343.34
89,24,41,2,56.14
90,24,20,2,61.8
91,25,35,3,25.14
92,25,3,1,645.41
93,25,24,3,44.99
94,25,39,1,30.05
95,26,22,1,12.8
96,26,28,3,328.32
97,26,7,3,848.08
98,26,1,3,1154.6
99,27,33,1,56.45
100,27,10,1,76.91
101,27,23,1,10.43
102,27,2,2,896.03
103,27,31,1,327.1
104,28,21,3,58.82
105,28,5,3,799.47
106,28,20,3,61.8
107,28,3,1,645.41
108,29,26,1,38.46
109,29,41,3,59.15
110,30,38,3,81.59
111,30,28,2,328.32
112,30,25,1,27.45
113,30,1,3,1154.6
114,31,34,2,101.12
115,31,41,3,52.36
116,31,21,2,62.91
117,31,39,3,30.05
118,32,21,1,62.91
119,32,8,1,280.21
120,33,37,2,46.75
121,33,25,3,27.45
122,34,32,1,388.54
123,34,19,2,121.07
124,35,13,3,226.75
125,35,25,2,27.45
126,36,11,1,398.95
127,36,6,2,1195.82
128,36,37,2,46.75
129,36,2,2,896.03
130,37,37,1,46.75
131,38,29,3,243.6
132,39,20,2,61.8
133,39,3,1,645.41
134,40,23,3,9.08
135,40,40,1,31.96
136,40,41,3,59.15
137,40,28,2,328.32
138,40,11,1,398.95
139,41,7,3,794.32
140,41,9,1,302.9
141,41,27,1,80.16
142,41,4,3,185.43
143,41,18,1,121.31
144,42,41,1,59.15
145,43,30,3,171.91
146,43,32,3,368.03
147,43,21,3,62.91
148,44,14,2,358.16
149,44,28,2,328.32
150,44,32,1,388.54
151,44,18,2,121.31
152,45,2,2,847.47
153,45,8,1,280.21
154,45,11,1,398.95
155,45,29,2,243.6
156,46,24,3,44.99
157,47,28,1,328.32
158,47,42,1,50.21
159,48,1,3,989.59
160,48,22,2,11.91
161,48,8,1,280.21
162,48,28,2,304.47
163,49,5,3,786.57
164,49,34,2,101.12
165,50,40,1,27.56
166,50,29,3,243.6
167,50,14,2,358.16
168,50,6,1,1195.82
